entry_id,canonical_line_id,artifact_id,sequence_surface,quantity,signs_raw,signs_canonical,groups_raw,sign_count,group_count,source_count,provenance_tags
616,CLINE_0616,HT 147,AB60,,AB60,AB60,AB60,1,1,1,http://sigla.phis.me/document/HT%20147/index-word.html
617,CLINE_0617,HT 15,AB10 AB34 AB41,,AB10 AB34 AB41,AB10 AB34 AB41,AB10 AB34 AB41,3,3,1,http://sigla.phis.me/document/HT%2015/index-word.html
618,CLINE_0618,HT 15,AB51 AB123 AB08,,AB51 AB123 AB08,AB51 AB123 AB08,AB51 AB123 AB08,3,3,1,http://sigla.phis.me/document/HT%2015/index-word.html
619,CLINE_0619,HT 15,AB67 AB02,,AB67 AB02,AB67 AB02,AB67 AB02,2,2,1,http://sigla.phis.me/document/HT%2015/index-word.html
620,CLINE_0620,HT 15,DU A,,DU A,DU A,DU A,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
621,CLINE_0621,HT 15,GRA,,GRA,GRA,GRA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
622,CLINE_0622,HT 15,GRA L3L3,,GRA L3L3,GRA L3L3,GRA L3L3,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
623,CLINE_0623,HT 15,KI RO,,KI RO,KI RO,KI RO,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
624,CLINE_0624,HT 15,U SI,,U SI,U SI,U SI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
625,CLINE_0625,HT 154,AB37,,AB37,AB37,AB37,1,1,1,http://sigla.phis.me/document/HT%20154/index-word.html
626,CLINE_0626,HT 154,AB67,,AB67,AB67,AB67,1,1,1,http://sigla.phis.me/document/HT%20154/index-word.html
627,CLINE_0627,HT 154,DESUNT,,DESUNT,DESUNT,DESUNT,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
628,CLINE_0628,HT 154,I [?],,I [?],I [?],I [?],2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
629,CLINE_0629,HT 154A,AB69 AB13 AB03 AB57,,AB69 AB13 AB03 AB57,AB69 AB13 AB03 AB57,AB69 AB13 AB03 AB57,4,4,1,http://sigla.phis.me/document/HT%20154A/index-word.html
630,CLINE_0630,HT 154A,TU ME PA JA,,TU ME PA JA,TU ME PA JA,TU ME PA JA,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
631,CLINE_0631,HT 154A,]GRA[,,]GRA[,]GRA[,]GRA[,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
632,CLINE_0632,HT 154C,AB06 AB73,,AB06 AB73,AB06 AB73,AB06 AB73,2,2,1,http://sigla.phis.me/document/HT%20154C/index-word.html
633,CLINE_0633,HT 154E,[?] [?],,[?] [?],[?] [?],[?] [?],2,2,1,http://sigla.phis.me/document/HT%20154E/index-word.html
634,CLINE_0634,HT 154E,]FIC,,]FIC,]FIC,]FIC,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
635,CLINE_0635,HT 154JA,AB55 AB27,,AB55 AB27,AB55 AB27,AB55 AB27,2,2,1,http://sigla.phis.me/document/HT%20154Ja/index-word.html
636,CLINE_0636,HT 154N,AB41,,AB41,AB41,AB41,1,1,2,http://sigla.phis.me/document/HT%20154N/index-word.html
637,CLINE_0637,HT 16,AB07 AB06 AB10,,AB07 AB06 AB10,AB07 AB06 AB10,AB07 AB06 AB10,3,3,1,http://sigla.phis.me/document/HT%2016/index-word.html
638,CLINE_0638,HT 16,AB31 AB11,,AB31 AB11,AB31 AB11,AB31 AB11,2,2,1,http://sigla.phis.me/document/HT%2016/index-word.html
639,CLINE_0639,HT 16,AB77 AB81 AB03,,AB77 AB81 AB03,AB77 AB81 AB03,AB77 AB81 AB03,3,3,1,http://sigla.phis.me/document/HT%2016/index-word.html
640,CLINE_0640,HT 16,KA KU PA DI NA U,,KA KU PA DI NA U,KA KU PA DI NA U,KA KU PA DI NA U,6,6,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
641,CLINE_0641,HT 16,SA PO,,SA PO,SA PO,SA PO,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
642,CLINE_0642,HT 17,AB31 AB02,,AB31 AB02,AB31 AB02,AB31 AB02,2,2,1,http://sigla.phis.me/document/HT%2017/index-word.html
643,CLINE_0643,HT 17,AB41 AB01 AB27,,AB41 AB01 AB27,AB41 AB01 AB27,AB41 AB01 AB27,3,3,1,http://sigla.phis.me/document/HT%2017/index-word.html
644,CLINE_0644,HT 17,AB60 AB164A AB37,,AB60 AB164A AB37,AB60 AB164A AB37,AB60 AB164A AB37,3,3,1,http://sigla.phis.me/document/HT%2017/index-word.html
645,CLINE_0645,HT 17,RA *164A TI,,RA *164A TI,RA *164A TI,RA *164A TI,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
646,CLINE_0646,HT 17,SA RO,,SA RO,SA RO,SA RO,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
647,CLINE_0647,HT 17,SI DA RE,,SI DA RE,SI DA RE,SI DA RE,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
648,CLINE_0648,HT 17,TE VIN,,TE VIN,TE VIN,TE VIN,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
649,CLINE_0649,HT 18,AB03 AB09,,AB03 AB09,AB03 AB09,AB03 AB09,2,2,1,http://sigla.phis.me/document/HT%2018/index-word.html
650,CLINE_0650,HT 18,AB31 AB76,,AB31 AB76,AB31 AB76,AB31 AB76,2,2,1,http://sigla.phis.me/document/HT%2018/index-word.html
651,CLINE_0651,HT 18,FIC,,FIC,FIC,FIC,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
652,CLINE_0652,HT 18,GRA,,GRA,GRA,GRA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
653,CLINE_0653,HT 18,GRA QE,,GRA QE,GRA QE,GRA QE,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
654,CLINE_0654,HT 18,OLE KI,,OLE KI,OLE KI,OLE KI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
655,CLINE_0655,HT 18,PA SE,,PA SE,PA SE,PA SE,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
656,CLINE_0656,HT 18,SA RA2,,SA RA2,SA RA2,SA RA2,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
