inscription_id,source_corpus,provenance_source_url,site_find_place,region,object_type,support_material,classification,formula_class,inscription_length,line_count,sign_count,word_count,sign_inventory_used,estimated_date_period,find_context,libation_formula_candidate,accounting_candidate,ideogram_presence,numeral_presence,damage_unreadability_level,confidence_provenance_notes
MA 2A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MA%202a/index-word.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,AB51 AB60,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 2B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MA%202b/index-word.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,short_mark_or_label,6,3,6,6,AB27 AB37 AB57 AB81 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.1667,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 2C,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MA%202c/index-word.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,unclassified,7,2,7,7,AB06 AB10 AB37 AB57 AB80,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 4,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,short_mark_or_label,6,3,6,6,*180B B L SA TA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 4B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MA%204b/index-word.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,unclassified,3,1,3,3,AB08 AB57 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.3333,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA WC 5,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,MA,aegean_islands,sealed_document_or_roundel,clay_or_object_unknown,administrative,commodity_accounting,3,1,3,3,B E GRA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,1,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA WC 5A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MA%20Wc%20%3C5a%3E/index-word.html,MA,aegean_islands,sealed_document_or_roundel,clay_or_object_unknown,unknown,unclassified,4,1,4,4,AB01 AB08 AB31 AB77,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MI 2,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MI%202/index-word.html; https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,MI,aegean_islands,unclassified,clay_or_object_unknown,unknown,short_mark_or_label,8,5,8,8,*401VAS AB50 AB51 AB77 DU KA[ RA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MY ZF 2,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MY%20Zf%202/index-word.html,MY,mainland_or_external,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,short_mark_or_label,1,1,1,1,AB43,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
NOTES TO HT ZD 155 157,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,NOTES,unknown,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,short_mark_or_label,2,1,2,2,E F,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
