canonical_line_id,observation_id
CLINE_0399,OBS_000608
CLINE_0400,OBS_000605
CLINE_0401,OBS_000609
CLINE_0402,OBS_000612
CLINE_0403,OBS_000633
CLINE_0404,OBS_000625
CLINE_0405,OBS_000616
CLINE_0406,OBS_000620
CLINE_0407,OBS_000618
CLINE_0408,OBS_000629
CLINE_0409,OBS_000630
CLINE_0410,OBS_000627
CLINE_0411,OBS_000623
CLINE_0411,OBS_000626
CLINE_0412,OBS_000628
CLINE_0412,OBS_000634
CLINE_0413,OBS_000621
CLINE_0414,OBS_000624
CLINE_0415,OBS_000635
CLINE_0416,OBS_000619
CLINE_0417,OBS_000631
CLINE_0418,OBS_000622
CLINE_0419,OBS_000617
CLINE_0420,OBS_000632
CLINE_0421,OBS_000615
CLINE_0422,OBS_000641
CLINE_0423,OBS_000637
CLINE_0424,OBS_000648
CLINE_0425,OBS_000644
CLINE_0426,OBS_000649
CLINE_0427,OBS_000638
CLINE_0428,OBS_000640
CLINE_0429,OBS_000651
CLINE_0430,OBS_000650
CLINE_0431,OBS_000647
CLINE_0432,OBS_000652
CLINE_0433,OBS_000654
CLINE_0434,OBS_000642
CLINE_0435,OBS_000653
CLINE_0436,OBS_000636
CLINE_0437,OBS_000646
CLINE_0438,OBS_000645
CLINE_0439,OBS_000639
CLINE_0439,OBS_000643
CLINE_0440,OBS_000656
CLINE_0441,OBS_000659
CLINE_0442,OBS_000657
CLINE_0443,OBS_000661
CLINE_0444,OBS_000658
CLINE_0445,OBS_000655
CLINE_0446,OBS_000660
CLINE_0447,OBS_000669
CLINE_0448,OBS_000678
CLINE_0449,OBS_000677
CLINE_0450,OBS_000679
CLINE_0451,OBS_000663
CLINE_0452,OBS_000671
CLINE_0452,OBS_000672
CLINE_0452,OBS_000680
CLINE_0453,OBS_000662
CLINE_0453,OBS_000664
CLINE_0453,OBS_000666
CLINE_0453,OBS_000668
CLINE_0453,OBS_000670
CLINE_0454,OBS_000673
CLINE_0455,OBS_000665
CLINE_0456,OBS_000667
CLINE_0457,OBS_000674
CLINE_0458,OBS_000675
CLINE_0459,OBS_000676
CLINE_0460,OBS_000685
CLINE_0461,OBS_000691
CLINE_0462,OBS_000689
CLINE_0463,OBS_000687
CLINE_0464,OBS_000684
CLINE_0464,OBS_000686
CLINE_0464,OBS_000688
CLINE_0464,OBS_000690
CLINE_0464,OBS_000692
CLINE_0465,OBS_000681
CLINE_0466,OBS_000682
CLINE_0466,OBS_000683
CLINE_0467,OBS_000696
CLINE_0468,OBS_000693
CLINE_0469,OBS_000695
