cluster_id,sequence_id,sequence,line_frequency,sequence_length,artifacts,artifact_count
CL_269,SEQ_1127,AB78 AB39 AB59,1,3,HT 6A,1
CL_057,SEQ_1128,AB78 AB58 AB50,1,3,HT 87,1
CL_043,SEQ_1129,AB78 AB69 AB24,1,3,HT 12,1
CL_001,SEQ_113,AB08 AB80,3,2,"HS ZG 1,MA 1B,ZA 7B",3
CL_103,SEQ_1130,AB78 AB76 AB57,1,3,HT 3,1
CL_004,SEQ_1131,AB78 AB81 AB27,1,3,HT 20,1
CL_270,SEQ_1132,AB79 AB22F AB07,1,3,HT 101,1
CL_095,SEQ_1133,AB79 AB30 AB77,1,3,HT WC 3004A,1
CL_271,SEQ_1134,AB79 AB65 AB29,1,3,HT 25A,1
CL_104,SEQ_1135,AB80 AB04 AB27,1,3,PH 15A,1
CL_272,SEQ_1136,AB80 AB28 AB73,1,3,HT 89,1
CL_041,SEQ_1137,AB80 AB41 AB51,1,3,HT 43,1
CL_005,SEQ_1138,AB81 AB03 AB57,1,3,HT 116A,1
CL_005,SEQ_1139,AB81 AB03 AB79,1,3,KH 5,1
CL_273,SEQ_114,AB21F AB118,3,2,"KH 88,ZA 14,ZA 5A",3
CL_031,SEQ_1140,AB81 AB13 AB59,1,3,HT 51B,1
CL_012,SEQ_1141,AB81 AB26 AB80,1,3,HT 115B,1
CL_012,SEQ_1142,AB81 AB26 AB81,1,3,HT 87,1
CL_003,SEQ_1143,AB81 AB30 AB04,1,3,KH 92,1
CL_003,SEQ_1144,AB81 AB30 [?],1,3,HT 95A,1
CL_081,SEQ_1145,AB81 AB56 AB56,1,3,HT 88,1
CL_058,SEQ_1146,AB81 AB60 AB131B,1,3,ARKH 2,1
CL_058,SEQ_1147,AB81 AB60 AB23,1,3,HT 117A,1
CL_003,SEQ_1148,AB81 AB73 AB06,1,3,HT WC 3014A,1
CL_003,SEQ_1149,AB81 AB77 [?],1,3,KH 99,1
CL_016,SEQ_115,AB27 AB17,3,2,"HT 13,HT 88,KH 86",3
CL_003,SEQ_1150,AB81 AB79 AB06,1,3,HT 64,1
CL_004,SEQ_1151,AB81 AB80 AB02,1,3,HT 96A,1
CL_004,SEQ_1152,AB81 AB80 AB65,1,3,HT 20,1
CL_274,SEQ_1153,AB85 AB27 AB04,1,3,KH 6,1
CL_275,SEQ_1154,AB86 AB41 AB30,1,3,HT 140,1
CL_276,SEQ_1155,AU RE TE,1,3,KH 6,1
CL_277,SEQ_1156,B B B,1,3,KE WC 2,1
CL_278,SEQ_1157,B GRA E,1,3,MA WC 5,1
CL_279,SEQ_1158,B NI PI,1,3,KN WC 26,1
CL_105,SEQ_1159,B RE RO,1,3,HT WC 3012,1
CL_280,SEQ_116,DA ME,3,2,"HT 120,HT 86,HT 95",3
CL_281,SEQ_1160,DA JU TE,1,3,HT 34,1
CL_106,SEQ_1161,DA KU NA,1,3,HT 103,1
CL_282,SEQ_1162,DA MI NU,1,3,HT 117,1
CL_019,SEQ_1163,DA NA SI,1,3,HT 126,1
CL_002,SEQ_1164,DA QE RA[,1,3,HT 57,1
CL_002,SEQ_1165,DA RE KU[,1,3,ZA 18,1
CL_002,SEQ_1166,DA RE SE,1,3,HT 93,1
CL_283,SEQ_1167,DA RO PA,1,3,HT 38,1
CL_002,SEQ_1168,DA TA RA,1,3,HT 6,1
CL_002,SEQ_1169,DA TA RE,1,3,HT 88,1
CL_284,SEQ_117,FIC TE,3,2,"HT 51,HT 67,HT 70",3
CL_285,SEQ_1170,DE JU KU,1,3,HT 93,1
CL_107,SEQ_1171,DI KA KI,1,3,HT 52,1
CL_022,SEQ_1172,DI NA RO,1,3,HT 108,1
CL_286,SEQ_1173,DU DA MA,1,3,HT 6,1
CL_287,SEQ_1174,DU ME DI,1,3,HT 19,1
CL_288,SEQ_1175,DU PA3 NA,1,3,HT 115,1
CL_009,SEQ_1176,DU RE ZA,1,3,KH 20,1
