cluster_id,sequence_id,sequence,line_frequency,sequence_length,artifacts,artifact_count
CL_774,SEQ_328,A328,1,1,PH 13A,1
CL_775,SEQ_329,A335,1,1,KH 44,1
CL_776,SEQ_330,A356,1,1,PH 13B,1
CL_777,SEQ_331,A359,1,1,PH 17A,1
CL_778,SEQ_332,A360,1,1,PH 17B,1
CL_779,SEQ_333,A501,1,1,KH WA 1002,1
CL_780,SEQ_334,A579,1,1,HT 128A,1
CL_781,SEQ_335,A629,1,1,HT WA 1020,1
CL_782,SEQ_336,A640,1,1,KH WA 1002,1
CL_783,SEQ_337,A651,1,1,KH 12,1
CL_784,SEQ_338,A717,1,1,HT 6A,1
CL_785,SEQ_339,AB01,1,1,HT 3,1
CL_786,SEQ_340,AB05,1,1,PH 3B,1
CL_787,SEQ_341,AB13,1,1,ZA 21B,1
CL_788,SEQ_342,AB131A,1,1,HT 89,1
CL_789,SEQ_343,AB17?,1,1,KH 94,1
CL_790,SEQ_344,AB188,1,1,HT 123B,1
CL_791,SEQ_345,AB20,1,1,KH 57,1
CL_792,SEQ_346,AB23,1,1,HT 23B,1
CL_793,SEQ_347,AB30,1,1,KH 65,1
CL_794,SEQ_348,AB31,1,1,HT 56A,1
CL_795,SEQ_349,AB43,1,1,MY ZF 2,1
CL_796,SEQ_350,AB45,1,1,KH 100,1
CL_797,SEQ_351,AB51?,1,1,ZA 31,1
CL_798,SEQ_352,AB53,1,1,HT 49A,1
CL_799,SEQ_353,AB55,1,1,HT 62 73,1
CL_800,SEQ_354,AB55?,1,1,KH 3,1
CL_801,SEQ_355,AB58,1,1,KH 63,1
CL_802,SEQ_356,AB65,1,1,HT 68,1
CL_803,SEQ_357,AB66,1,1,HT 137,1
CL_804,SEQ_358,AB70,1,1,HT 62 73,1
CL_805,SEQ_359,AB73,1,1,HT 135A,1
CL_806,SEQ_360,AB76,1,1,HT 130,1
CL_807,SEQ_361,ASARA2,1,1,HT 89,1
CL_808,SEQ_362,BOS,1,1,KH 6,1
CL_809,SEQ_363,CAPF,1,1,PH 31,1
CL_810,SEQ_364,GRA[,1,1,ARKH 3,1
CL_811,SEQ_365,GRA[],1,1,HT 40,1
CL_812,SEQ_366,MAIMI,1,1,HT 89,1
CL_813,SEQ_367,NEW,1,1,GO WC 3,1
CL_814,SEQ_368,OLE[,1,1,HT 23,1
CL_815,SEQ_369,OLIV[,1,1,ZA 6,1
CL_816,SEQ_370,SUS,1,1,HT 38,1
CL_817,SEQ_371,TA2,1,1,HT 11,1
CL_818,SEQ_372,TARA,1,1,HT 89,1
CL_819,SEQ_373,TWE,1,1,HT 126,1
CL_820,SEQ_374,VIN,1,1,PH 31,1
CL_821,SEQ_375,VINA[,1,1,HT 44,1
CL_822,SEQ_376,VINC,1,1,KH 18,1
CL_823,SEQ_377,VINC[,1,1,KH 85,1
CL_824,SEQ_378,VIN[,1,1,KH 100,1
CL_825,SEQ_379,[NAME,1,1,HT 94,1
CL_826,SEQ_380,[[FIC,1,1,KH 8,1
CL_827,SEQ_381,[[GRAFFITO]],1,1,PH 28,1
CL_828,SEQ_382,]*131C,1,1,KH 60,1
CL_829,SEQ_383,]GRA,1,1,KH 8,1
CL_830,SEQ_384,]OLE,1,1,KN ZB 35,1
CL_831,SEQ_385,]OLIV[,1,1,TY 3,1
CL_832,SEQ_386,]OVIS,1,1,THE TABLET 4,1
CL_833,SEQ_387,]OVISF[,1,1,ZA 22,1
CL_834,SEQ_388,]PA3[,1,1,ARKH 1,1
CL_835,SEQ_389,]VEST,1,1,HT 33,1
CL_836,SEQ_390,]VIR[,1,1,HT 62 73,1
CL_837,SEQ_391,*400VAS RI,1,2,HT 110,1
CL_838,SEQ_392,*404VAS ?][,1,2,MA 10,1
CL_839,SEQ_393,*404VAS A,1,2,MA 10,1
CL_840,SEQ_394,*404VAS TI,1,2,MA 10,1
CL_841,SEQ_395,*407VAS A,1,2,HT 39,1
CL_842,SEQ_396,*412VAS E,1,2,MA 10,1
CL_843,SEQ_397,*412VAS F,1,2,MA 10,1
CL_844,SEQ_398,*413VAS SU,1,2,MA 10,1
CL_845,SEQ_399,*418VAS L2,1,2,PH 8,1
CL_846,SEQ_400,406VAS KE,1,2,HT 26,1
CL_002,SEQ_401,A DA,1,2,TY 3,1
CL_847,SEQ_402,A DE,1,2,ZA 10,1
CL_848,SEQ_403,A DU[,1,2,KH 23,1
CL_017,SEQ_404,A MA,1,2,MA 1,1
CL_849,SEQ_405,A MA[,1,2,ZA 7,1
CL_002,SEQ_406,A MI,1,2,PH 14,1
CL_850,SEQ_407,A O,1,2,KN WC 42,1
CL_035,SEQ_408,A PA,1,2,ARKH 1,1
CL_851,SEQ_409,A RA[,1,2,ARKH 1,1
CL_852,SEQ_410,A SI,1,2,HT 9,1
CL_002,SEQ_411,A TA,1,2,KH 39,1
CL_853,SEQ_412,A TE,1,2,KH 11,1
CL_036,SEQ_413,A ZA,1,2,PE 2,1
CL_854,SEQ_414,A301 AB06,1,2,KH 5,1
CL_855,SEQ_415,A305 AB26,1,2,HT 10A,1
CL_856,SEQ_416,A309A [?],1,2,TY 2,1
CL_857,SEQ_417,A309A? [?],1,2,TY 2,1
CL_858,SEQ_418,A312 AB59,1,2,HT 10B,1
CL_859,SEQ_419,A312 AB66,1,2,ZA 6B,1
CL_860,SEQ_420,A318 A306,1,2,HT 94A,1
CL_861,SEQ_421,A322 AB53,1,2,HT 11A,1
CL_862,SEQ_422,A327 AB65,1,2,HT 119,1
CL_863,SEQ_423,A352 A306,1,2,KH 100,1
CL_864,SEQ_424,AB01 AB17,1,2,HT 95B,1
CL_128,SEQ_425,AB01 AB28,1,2,HT 12,1
CL_865,SEQ_426,AB01 AB56,1,2,HT 79 83,1
CL_001,SEQ_427,AB01 AB60,1,2,PH 7B,1
CL_866,SEQ_428,AB01 AB67,1,2,HT 123A,1
CL_867,SEQ_429,AB02 AB38,1,2,PH 24,1
CL_868,SEQ_430,AB02 AB44,1,2,HT 98A,1
CL_869,SEQ_431,AB03 AB17,1,2,ZA 6B,1
CL_005,SEQ_432,AB03 AB27,1,2,HT 4,1
CL_005,SEQ_433,AB03 AB57,1,2,HT 41A,1
CL_007,SEQ_434,AB03 AB59,1,2,KH 79 89,1
CL_870,SEQ_435,AB03 AB73,1,2,TY 3B,1
CL_048,SEQ_436,AB04 AB04,1,2,ZA 23,1
CL_871,SEQ_437,AB04 AB123,1,2,ZA 20,1
CL_872,SEQ_438,AB04 AB44,1,2,HT 85A,1
CL_873,SEQ_439,AB04 AB79,1,2,PH 13C,1
CL_001,SEQ_440,AB04 [?],1,2,PH 27,1
CL_874,SEQ_441,AB06 AB67,1,2,KH 92,1
CL_875,SEQ_442,AB06 AB73,1,2,HT 154C,1
CL_083,SEQ_443,AB07 AB07,1,2,ZA 26A,1
CL_876,SEQ_444,AB07 AB41,1,2,KH 6,1
CL_148,SEQ_445,AB07 AB45,1,2,HT 86B,1
CL_149,SEQ_446,AB07 AB67,1,2,ZA 27,1
CL_877,SEQ_447,AB08 A301,1,2,KH 58,1
CL_006,SEQ_448,AB08 AB01,1,2,TY 3A,1
CL_878,SEQ_449,AB08 AB06?,1,2,HT 37,1
CL_010,SEQ_450,AB08 AB26,1,2,HT 49A,1
CL_879,SEQ_451,AB08 AB39,1,2,KN ZE 16,1
CL_046,SEQ_452,AB08 AB41,1,2,HT 9B,1
CL_880,SEQ_453,AB08 AB45,1,2,ZA 10B,1
CL_001,SEQ_454,AB08 AB53,1,2,PH 6,1
CL_001,SEQ_455,AB08 AB57,1,2,KH 97A,1
CL_027,SEQ_456,AB08 AB65,1,2,HT ZD 155,1
CL_040,SEQ_457,AB08 AB73,1,2,PH 14B,1
CL_001,SEQ_458,AB08 [?],1,2,KH 73,1
CL_881,SEQ_459,AB08? [?],1,2,KH 92,1
CL_882,SEQ_460,AB09 A305,1,2,KH 7A,1
CL_883,SEQ_461,AB10 AB37,1,2,HT 10B,1
CL_884,SEQ_462,AB10 AB58,1,2,HT 117A,1
CL_885,SEQ_463,AB10 AB65,1,2,ZA 7A,1
CL_886,SEQ_464,AB10 AB66,1,2,HT 103,1
CL_887,SEQ_465,AB100 A329,1,2,HT 128B,1
CL_888,SEQ_466,AB100 [?],1,2,HT 62 73,1
CL_889,SEQ_467,AB118 AB73,1,2,ZA 21A,1
CL_075,SEQ_468,AB16 AB118,1,2,KH 10,1
CL_890,SEQ_469,AB16 AB24,1,2,KH 47,1
CL_891,SEQ_470,AB16 AB56,1,2,HT 31,1
CL_076,SEQ_471,AB16 AB67,1,2,KN WB 33A,1
CL_892,SEQ_472,AB17 A321,1,2,TY 3A,1
CL_893,SEQ_473,AB17 [?],1,2,ZA 9,1
CL_894,SEQ_474,AB188 AB86,1,2,HT 26B,1
CL_043,SEQ_475,AB21F AB69,1,2,HT 94B,1
CL_895,SEQ_476,AB23 A312,1,2,HT 78,1
CL_003,SEQ_477,AB26 AB06,1,2,KN 2,1
CL_896,SEQ_478,AB26 AB07,1,2,HT 141,1
CL_897,SEQ_479,AB26 AB30,1,2,HT 25A,1
CL_898,SEQ_480,AB26 AB31,1,2,HT 96A,1
CL_001,SEQ_481,AB26 AB57,1,2,KN WC 26A,1
CL_899,SEQ_482,AB26 AB73,1,2,ARKH 2,1
CL_900,SEQ_483,AB26 AB76,1,2,HT 11B,1
CL_012,SEQ_484,AB26 AB80,1,2,HT 64,1
CL_901,SEQ_485,AB26 [?],1,2,HT 128B,1
CL_032,SEQ_486,AB27 AB02,1,2,HT WC 3012B,1
CL_902,SEQ_487,AB27 AB69,1,2,HT 42 59,1
CL_154,SEQ_488,AB27 [?],1,2,KH 8,1
CL_903,SEQ_489,AB28 A308,1,2,HT 26B,1
CL_904,SEQ_490,AB28 A331,1,2,KH 32,1
CL_905,SEQ_491,AB28 AB09,1,2,ZA 6A,1
CL_049,SEQ_492,AB28 AB37,1,2,HT 25B,1
CL_090,SEQ_493,AB28 AB41,1,2,KH 9,1
CL_906,SEQ_494,AB28 AB45,1,2,ZA 11B,1
CL_907,SEQ_495,AB28 AB47,1,2,ARKH 4B,1
CL_908,SEQ_496,AB28 AB80,1,2,ZA 6B,1
CL_909,SEQ_497,AB29 AB76,1,2,ZA 6A,1
CL_910,SEQ_498,AB30 AB39,1,2,KN WC 26B,1
CL_911,SEQ_499,AB30 AB60,1,2,HT 23B,1
CL_912,SEQ_500,AB31 AB11,1,2,HT 16,1
CL_055,SEQ_501,AB31 AB24,1,2,HT 53A,1
CL_050,SEQ_502,AB31 AB53,1,2,ZA 21B,1
CL_913,SEQ_503,AB31 AB59,1,2,HT 117A,1
CL_914,SEQ_504,AB31 AB72,1,2,HT 28A,1
CL_006,SEQ_505,AB37 AB30,1,2,HT 51A,1
CL_915,SEQ_506,AB38 AB82,1,2,ZA 4A,1
CL_916,SEQ_507,AB39 A314,1,2,ARKH 3B,1
CL_917,SEQ_508,AB39 AB23,1,2,ZA 21A,1
CL_918,SEQ_509,AB39 AB55,1,2,KH 86,1
CL_919,SEQ_510,AB39 AB61,1,2,PH 19,1
CL_920,SEQ_511,AB40 AB31,1,2,HT 113,1
CL_921,SEQ_512,AB41 A516,1,2,HT 34,1
CL_001,SEQ_513,AB41 AB04,1,2,ZA 26A,1
CL_922,SEQ_514,AB41 AB26,1,2,HT 55A,1
CL_923,SEQ_515,AB41 AB50,1,2,HT ZB 161,1
CL_041,SEQ_516,AB41 AB51,1,2,HT 123B,1
CL_015,SEQ_517,AB41 AB60,1,2,HT 49A,1
CL_924,SEQ_518,AB45 AB07,1,2,HT 94B,1
CL_925,SEQ_519,AB45 AB55,1,2,HT 11B,1
CL_926,SEQ_520,AB45 AB73,1,2,ARKH 4B,1
CL_927,SEQ_521,AB45 [?],1,2,HT 97A,1
CL_928,SEQ_522,AB50 AB45,1,2,KH 88,1
CL_929,SEQ_523,AB50 AB70,1,2,HT 31,1
CL_930,SEQ_524,AB51 AB53,1,2,PH 31B,1
CL_931,SEQ_525,AB51 AB57,1,2,HT 7A,1
CL_051,SEQ_526,AB51 AB60,1,2,MA 2A,1
CL_932,SEQ_527,AB51 AB65,1,2,ZA 22,1
CL_933,SEQ_528,AB51 AB77,1,2,MI 2,1
CL_934,SEQ_529,AB51? AB67,1,2,HT 6B,1
CL_935,SEQ_530,AB53 A305,1,2,HT 146,1
CL_001,SEQ_531,AB53 AB57,1,2,HT 55B,1
CL_936,SEQ_532,AB54 A362,1,2,ZA 10B,1
CL_077,SEQ_533,AB55 AB27,1,2,HT 154JA,1
CL_021,SEQ_534,AB55 AB37,1,2,HT 84,1
CL_937,SEQ_535,AB55 AB40,1,2,HT 115B,1
CL_938,SEQ_536,AB56 AB188,1,2,HT 8B,1
CL_939,SEQ_537,AB57 A304,1,2,PH 14A,1
CL_940,SEQ_538,AB57 A345,1,2,HT 119,1
CL_941,SEQ_539,AB57 AB03,1,2,ZA 4A,1
CL_942,SEQ_540,AB57 AB07,1,2,PH WC 39A,1
CL_005,SEQ_541,AB57 AB27,1,2,ARKH 1B,1
CL_053,SEQ_542,AB57 AB37,1,2,PS ZA 2,1
CL_943,SEQ_543,AB57 AB40,1,2,ZA 14,1
CL_094,SEQ_544,AB57 AB41,1,2,KN ZB 4,1
CL_944,SEQ_545,AB57 AB60,1,2,KN WC 30,1
CL_945,SEQ_546,AB57 AB67,1,2,ZA 26A,1
CL_053,SEQ_547,AB57 AB81,1,2,MA 2B,1
CL_946,SEQ_548,AB58 AB27,1,2,HT 32,1
CL_054,SEQ_549,AB58 AB29,1,2,HT 63,1
CL_057,SEQ_550,AB58 AB50,1,2,HT 31,1
CL_947,SEQ_551,AB58 AB51,1,2,HT 42 59,1
CL_948,SEQ_552,AB58 AB67?,1,2,HT 49A,1
CL_949,SEQ_553,AB59 AB03,1,2,HT 104,1
CL_950,SEQ_554,AB59 AB10,1,2,KH 52,1
CL_096,SEQ_555,AB59 AB39,1,2,ARKH 1A,1
CL_951,SEQ_556,AB59 AB44,1,2,ZA 21A,1
CL_001,SEQ_557,AB59 AB57,1,2,HT ZD 156,1
CL_080,SEQ_558,AB59 AB59,1,2,KH 7A,1
CL_001,SEQ_559,AB59 AB60,1,2,HT 89,1
CL_952,SEQ_560,AB59 AB73,1,2,HT 66,1
CL_007,SEQ_561,AB60 AB53,1,2,HT 122A,1
CL_093,SEQ_562,AB61 AB73,1,2,ZA 27,1
CL_953,SEQ_563,AB65 AB60,1,2,HT 80,1
CL_954,SEQ_564,AB66 [?],1,2,KH 29,1
CL_098,SEQ_565,AB67 A310,1,2,HT 27A,1
CL_006,SEQ_566,AB67 AB01,1,2,HT 27A,1
CL_955,SEQ_567,AB67 AB55,1,2,ARKH 3A,1
CL_100,SEQ_568,AB69 AB03,1,2,HT 112A,1
CL_101,SEQ_569,AB69 AB80,1,2,HT 94B,1
CL_956,SEQ_570,AB70 AB26,1,2,HT 23A,1
CL_957,SEQ_571,AB70 AB57,1,2,HT 119,1
CL_042,SEQ_572,AB73 AB01,1,2,HT 27B,1
CL_003,SEQ_573,AB73 AB06,1,2,KH 79 89,1
CL_958,SEQ_574,AB73 AB27,1,2,ZA 23,1
CL_959,SEQ_575,AB73 AB37,1,2,HT 61,1
CL_040,SEQ_576,AB73 AB59,1,2,HT 128A,1
CL_960,SEQ_577,AB73 AB76,1,2,HT 54A,1
CL_961,SEQ_578,AB73 AB77,1,2,HT 135A,1
CL_001,SEQ_579,AB73 [?],1,2,HT 113 TER,1
CL_962,SEQ_580,AB77 A305,1,2,HT 9B,1
CL_963,SEQ_581,AB77 AB24,1,2,ARKH 3A,1
CL_010,SEQ_582,AB77 AB31,1,2,KE 1,1
CL_021,SEQ_583,AB77 AB37,1,2,HT 63,1
CL_964,SEQ_584,AB77 AB65,1,2,HT 88,1
CL_965,SEQ_585,AB77 AB67,1,2,HT 37,1
CL_966,SEQ_586,AB77 AB76,1,2,HT 139,1
CL_967,SEQ_587,AB77 AB80,1,2,HT 140,1
CL_005,SEQ_588,AB77 AB81,1,2,HT 62 73,1
CL_968,SEQ_589,AB78 AB37,1,2,HT 7A,1
CL_043,SEQ_590,AB78 AB69,1,2,HT 41A,1
CL_969,SEQ_591,AB78 AB77,1,2,HT 85B,1
CL_970,SEQ_592,AB79 AB58,1,2,HT 1,1
CL_971,SEQ_593,AB80 A321,1,2,HT 6A,1
CL_972,SEQ_594,AB80 AB07?,1,2,HT 3,1
CL_973,SEQ_595,AB80 AB17,1,2,ZA 10B,1
CL_974,SEQ_596,AB80 AB26,1,2,HT 117A,1
CL_104,SEQ_597,AB80 AB27,1,2,HT 55A,1
CL_041,SEQ_598,AB80 AB41,1,2,HT 5,1
CL_975,SEQ_599,AB80 AB53,1,2,HT 128A,1
CL_976,SEQ_600,AB80 AB79,1,2,HT 102,1
CL_977,SEQ_601,AB81 A305,1,2,HT 27A,1
CL_978,SEQ_602,AB81 A321,1,2,ZA 18A,1
CL_979,SEQ_603,AB81 AB01,1,2,HT 122A,1
CL_004,SEQ_604,AB81 AB27,1,2,HT 53B,1
CL_980,SEQ_605,AB81 AB27?,1,2,HT 39,1
CL_003,SEQ_606,AB81 AB30,1,2,HT 79 83,1
CL_031,SEQ_607,AB81 AB39,1,2,ZA 14,1
CL_031,SEQ_608,AB81 AB59,1,2,HT 115B,1
CL_058,SEQ_609,AB81 AB60,1,2,ZA 20,1
CL_981,SEQ_610,B BOSM,1,2,GO WC 1,1
CL_982,SEQ_611,B CAP,1,2,HT WC 3014,1
CL_151,SEQ_612,B D,1,2,HT WC 3018,1
CL_983,SEQ_613,B J,1,2,HT WC 3001,1
CL_984,SEQ_614,B NA,1,2,PH 31,1
CL_985,SEQ_615,B OVISF,1,2,HT WC 3024,1
CL_105,SEQ_616,B RO,1,2,PH 31,1
CL_986,SEQ_617,B VESTIGIA,1,2,KN WC 48,1
CL_987,SEQ_618,CAPM KU,1,2,PH 31,1
CL_988,SEQ_619,DA KI,1,2,HT 6,1
CL_989,SEQ_620,DA NE,1,2,HT10,1
CL_990,SEQ_621,DA PA3[,1,2,HT 79 83,1
CL_044,SEQ_622,DA RU,1,2,HT 7,1
CL_019,SEQ_623,DA TU,1,2,HT 123 124,1
CL_991,SEQ_624,DA U,1,2,HT 120,1
CL_992,SEQ_625,DE DI,1,2,HT 94,1
CL_993,SEQ_626,DE NU,1,2,HT 11,1
CL_022,SEQ_627,DI NA,1,2,KH 59,1
CL_994,SEQ_628,DI QE,1,2,HT 101,1
CL_995,SEQ_629,DI SI,1,2,KH 6,1
CL_996,SEQ_630,DU A,1,2,HT 15,1
CL_997,SEQ_631,DU JA,1,2,HT 7,1
CL_998,SEQ_632,DU JU,1,2,ZA 22,1
CL_999,SEQ_633,DU KA[,1,2,MI 2,1
CL_108,SEQ_634,DU RI,1,2,PH 31,1
CL_1000,SEQ_635,E F,1,2,NOTES TO HT ZD 155 157,1
CL_1001,SEQ_636,E GRA,1,2,HT 34,1
CL_1002,SEQ_637,E KA[,1,2,PE 1,1
CL_1003,SEQ_638,E MI,1,2,ZA 1,1
CL_1004,SEQ_639,FIC E,1,2,HT 89,1
CL_1005,SEQ_640,GRA H,1,2,HT 108,1
CL_152,SEQ_641,GRA L2,1,2,HT 22,1
CL_1006,SEQ_642,GRA L3L3,1,2,HT 15,1
CL_1007,SEQ_643,GRA PA[,1,2,ZA 11,1
CL_1008,SEQ_644,GRA QE[,1,2,HT 99,1
CL_1009,SEQ_645,I DA,1,2,ZA 24,1
CL_1010,SEQ_646,I DA[,1,2,ZA 21,1
CL_1011,SEQ_647,I OLIV,1,2,ZA 11,1
CL_1012,SEQ_648,I SE,1,2,ZA 6,1
CL_011,SEQ_649,JA KA,1,2,HT 24,1
CL_1013,SEQ_650,JA KI[,1,2,ZA 26,1
CL_110,SEQ_651,JA KU,1,2,MA 2,1
CL_1014,SEQ_652,JA PA,1,2,ZA 4,1
CL_126,SEQ_653,JA PI,1,2,ARKH 3,1
CL_1015,SEQ_654,JA QIF,1,2,HT 28,1
CL_011,SEQ_655,JA RU,1,2,HT 6,1
CL_1016,SEQ_656,JA SA[,1,2,PH 16,1
CL_1017,SEQ_657,JA SU,1,2,KN 32,1
CL_1018,SEQ_658,JA WI[,1,2,ZA 14,1
CL_1019,SEQ_659,JU QE,1,2,HT 89,1
CL_1020,SEQ_660,KA A,1,2,HT 38,1
CL_1021,SEQ_661,KA JU,1,2,HT 88,1
CL_107,SEQ_662,KA KI,1,2,HT 37,1
CL_1022,SEQ_663,KA KU,1,2,HT 62 73,1
CL_1023,SEQ_664,KA NE,1,2,ARKH 3,1
CL_1024,SEQ_665,KA PA[,1,2,HT 105,1
CL_1025,SEQ_666,KA QA,1,2,PK 1,1
CL_008,SEQ_667,KA RU,1,2,HT 97,1
CL_1026,SEQ_668,KA RU[,1,2,HT 75,1
CL_008,SEQ_669,KA SA,1,2,KE 1,1
CL_059,SEQ_670,KA TI,1,2,HT 63,1
CL_002,SEQ_671,KI DA,1,2,HT 27,1
CL_009,SEQ_672,KI RE,1,2,HT 37,1
CL_1027,SEQ_673,KI RO[,1,2,HT 93,1
CL_009,SEQ_674,KI TA2,1,2,HT 122,1
CL_1028,SEQ_675,KO JA,1,2,HT 119,1
CL_1029,SEQ_676,KO RU,1,2,HT 23,1
CL_1030,SEQ_677,KU DA,1,2,HT 122,1
CL_106,SEQ_678,KU NA,1,2,ZA 15,1
CL_037,SEQ_679,KU PA3,1,2,HT 101,1
CL_1031,SEQ_680,KU PI,1,2,ZA 14,1
CL_026,SEQ_681,KU RE,1,2,HT 39,1
CL_1032,SEQ_682,KU RO[,1,2,HT 85,1
CL_1033,SEQ_683,KU TA[,1,2,HT 115,1
CL_1034,SEQ_684,MA A,1,2,PH 3,1
CL_1035,SEQ_685,MA MA,1,2,PH 3,1
CL_038,SEQ_686,MA RE,1,2,HT 55,1
CL_060,SEQ_687,MA RI,1,2,HT 128,1
CL_120,SEQ_688,MA SI,1,2,HT 5,1
CL_1036,SEQ_689,MA ZA,1,2,ZA 10,1
CL_1037,SEQ_690,MA ZU,1,2,HT 102,1
CL_1038,SEQ_691,ME VINA,1,2,ZA 15,1
CL_011,SEQ_692,MI JA,1,2,PH 3,1
CL_1039,SEQ_693,MI KA[,1,2,HT 135,1
CL_1040,SEQ_694,MI TI,1,2,HT 61,1
CL_1041,SEQ_695,MU RU,1,2,HT 3,1
CL_002,SEQ_696,NA TI,1,2,HT 97,1
CL_1042,SEQ_697,NI MI,1,2,PK 1,1
CL_1043,SEQ_698,NI RA,1,2,HT 23,1
CL_1044,SEQ_699,NO OFIMPRESSIONS,1,2,HT WC 3013,1
CL_1045,SEQ_700,NOT PRESERVED,1,2,KN WC 43,1
CL_1046,SEQ_701,NU DU,1,2,HT 40,1
CL_059,SEQ_702,NU TI,1,2,ZA 9,1
CL_1047,SEQ_703,O MI[,1,2,ZA 27,1
CL_1048,SEQ_704,OLE NE[,1,2,HT 32,1
CL_1049,SEQ_705,OLE OVISF,1,2,TY 3,1
CL_1050,SEQ_706,OLE RA,1,2,HT 44,1
CL_1051,SEQ_707,OLIV KI,1,2,HT8,1
CL_1052,SEQ_708,OVIS SI,1,2,ZA 9,1
CL_047,SEQ_709,PA RE,1,2,ARKH 1,1
CL_1053,SEQ_710,PA RE[,1,2,HT 4,1
CL_017,SEQ_711,PA SE,1,2,HT 18,1
CL_1054,SEQ_712,PA ZA,1,2,ZA 6,1
CL_1055,SEQ_713,PA3 QE,1,2,HT 33,1
CL_1056,SEQ_714,PI A[,1,2,ZA 11,1
CL_1057,SEQ_715,PI NU,1,2,KH 86,1
CL_1058,SEQ_716,PI O,1,2,PH 19,1
CL_1059,SEQ_717,PI SA,1,2,HT 123 124,1
CL_1060,SEQ_718,PI SA[,1,2,KH 6,1
CL_1061,SEQ_719,PI TE,1,2,HT 116,1
CL_1062,SEQ_720,PU DE,1,2,KH 88,1
CL_062,SEQ_721,QA KI,1,2,HT8,1
CL_1063,SEQ_722,QA SA,1,2,HT 111,1
CL_1064,SEQ_723,QA TU,1,2,HT12,1
CL_1065,SEQ_724,QE KA,1,2,HT 85,1
CL_063,SEQ_725,QE PU,1,2,HT 9,1
CL_1066,SEQ_726,QE TI,1,2,HT 7,1
CL_1067,SEQ_727,R E[,1,2,KH 8,1
CL_1068,SEQ_728,RA TA2[,1,2,KH 29,1
CL_009,SEQ_729,RE TA2,1,2,HT 125,1
CL_1069,SEQ_730,RE TI,1,2,MA 2,1
CL_1070,SEQ_731,RE TU,1,2,HT 42 59,1
CL_1071,SEQ_732,RO E,1,2,PH 24,1
CL_1072,SEQ_733,RO KE,1,2,HT 98,1
CL_1073,SEQ_734,RO NI,1,2,HT 26,1
CL_1074,SEQ_735,RO RO,1,2,KH 18,1
CL_1075,SEQ_736,RO VINA,1,2,PS ZA 2,1
CL_1076,SEQ_737,RU MA[,1,2,HT 64,1
CL_122,SEQ_738,RU MI,1,2,ARKH 2,1
CL_1077,SEQ_739,RU RA2,1,2,HT 11,1
CL_1078,SEQ_740,RU SA,1,2,HT 96,1
CL_1079,SEQ_741,SA B,1,2,MA 4,1
CL_1080,SEQ_742,SA DI,1,2,HT 111,1
CL_1081,SEQ_743,SA L,1,2,MA 4,1
CL_1082,SEQ_744,SA MI,1,2,HT 29,1
CL_1083,SEQ_745,SA PO,1,2,HT 16,1
CL_1084,SEQ_746,SA PU,1,2,KN 32,1
CL_1085,SEQ_747,SA TA,1,2,HT 117,1
CL_1086,SEQ_748,SE I[,1,2,KH 97,1
CL_1087,SEQ_749,SE SI[,1,2,GO 2,1
CL_065,SEQ_750,SI ME,1,2,HT 23,1
CL_1088,SEQ_751,SI NI,1,2,HT 140,1
CL_024,SEQ_752,SI RA,1,2,HT 49,1
CL_1089,SEQ_753,SI RU,1,2,HT 55,1
CL_002,SEQ_754,SI SE,1,2,HT 116,1
CL_1090,SEQ_755,SI TA2,1,2,KH 9,1
CL_066,SEQ_756,SI TU,1,2,ZA 20,1
CL_1091,SEQ_757,SU DU[,1,2,HT 42 59,1
CL_131,SEQ_758,SU MI,1,2,KN 28,1
CL_067,SEQ_759,SU PU2,1,2,HT 8,1
CL_1092,SEQ_760,SU PU2[,1,2,HT 63,1
CL_1093,SEQ_761,SU RE,1,2,HT 32,1
CL_1094,SEQ_762,SUP ?,1,2,HT8,1
CL_1095,SEQ_763,SUS SI[,1,2,PH 31,1
CL_1096,SEQ_764,TA *180B,1,2,MA 4,1
CL_1097,SEQ_765,TA KE,1,2,ZA 21,1
CL_1098,SEQ_766,TA PA,1,2,HT 104,1
CL_002,SEQ_767,TA RA,1,2,HT 89,1
CL_1099,SEQ_768,TE KE,1,2,HT 85,1
CL_1100,SEQ_769,TE RO,1,2,HT 104,1
CL_1101,SEQ_770,TE TE,1,2,HT 26,1
CL_1102,SEQ_771,TE TU[,1,2,HT 85,1
CL_1103,SEQ_772,TE VIN,1,2,HT 17,1
CL_1104,SEQ_773,TELA KU,1,2,HT 38,1
CL_1105,SEQ_774,TI NI[,1,2,HT 51,1
CL_1106,SEQ_775,TO ME,1,2,PE 2,1
CL_1107,SEQ_776,TO RE,1,2,PE 2,1
CL_1108,SEQ_777,TU JA,1,2,HT 115,1
CL_153,SEQ_778,TU MA,1,2,HT 94,1
CL_067,SEQ_779,TU SU,1,2,PK 1,1
CL_1109,SEQ_780,U JU,1,2,ZA 7,1
CL_1110,SEQ_781,U SU,1,2,HT 117,1
CL_1111,SEQ_782,U TA2,1,2,HT 103,1
CL_1112,SEQ_783,U TI,1,2,HT 10,1
CL_1113,SEQ_784,VAS A,1,2,KH 83,1
CL_1114,SEQ_785,VAS VINA,1,2,PH 9,1
CL_1115,SEQ_786,VINA J,1,2,PH 31,1
CL_1116,SEQ_787,VINA KA,1,2,ZA 6,1
CL_068,SEQ_788,VINA SA,1,2,HT 131,1
