canonical_line_id,artifact_id,quantity,sequence_surface,canonical_sequence,sign_count,group_count,origin_count,source_kinds,provenance_tags,notes
CLINE_1239,HT 85,,KU RO[,KU RO[,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1240,HT 85,,KU ZU NI,KU ZU NI,3,3,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1241,HT 85,,MA DI,MA DI,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1242,HT 85,,ME ZA,ME ZA,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1243,HT 85,,PA3 NI,PA3 NI,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1244,HT 85,,QA I,QA I,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1245,HT 85,,QE KA,QE KA,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1246,HT 85,,RE DI SE,RE DI SE,3,3,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1247,HT 85,,TE KE,TE KE,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1248,HT 85,,TE TU[,TE TU[,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1249,HT 85,,U ZA,U ZA,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1250,HT 85,,WA DU NI MI,WA DU NI MI,4,4,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1251,HT 85A,,AB01 AB27,AB01 AB27,2,2,1,external_csv,http://sigla.phis.me/document/HT%2085a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1252,HT 85A,,AB01 AB41 AB118,AB01 AB41 AB118,3,3,1,external_csv,http://sigla.phis.me/document/HT%2085a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1253,HT 85A,,AB01 AB53 AB01,AB01 AB53 AB01,3,3,1,external_csv,http://sigla.phis.me/document/HT%2085a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1254,HT 85A,,AB04 AB44,AB04 AB44,2,2,1,external_csv,http://sigla.phis.me/document/HT%2085a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1255,HT 85A,,AB08 AB51,AB08 AB51,2,2,1,external_csv,http://sigla.phis.me/document/HT%2085a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1256,HT 85A,,AB10 A325 AB17,AB10 A325 AB17,3,3,1,external_csv,http://sigla.phis.me/document/HT%2085a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1257,HT 85A,,AB56 AB30,AB56 AB30,2,2,1,external_csv,http://sigla.phis.me/document/HT%2085a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1258,HT 85A,,AB81 AB02,AB81 AB02,2,2,1,external_csv,http://sigla.phis.me/document/HT%2085a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1259,HT 85A,,AB81 AB79 AB30,AB81 AB79 AB30,3,3,1,external_csv,http://sigla.phis.me/document/HT%2085a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1260,HT 85B,,AB04 AB69 [?],AB04 AB69 [?],3,3,1,external_csv,http://sigla.phis.me/document/HT%2085b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1261,HT 85B,,AB13 AB17,AB13 AB17,2,2,1,external_csv,http://sigla.phis.me/document/HT%2085b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1262,HT 85B,,AB16 A310 AB28,AB16 A310 AB28,3,3,1,external_csv,http://sigla.phis.me/document/HT%2085b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1263,HT 85B,,AB27 AB07 AB09,AB27 AB07 AB09,3,3,1,external_csv,http://sigla.phis.me/document/HT%2085b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1264,HT 85B,,AB54 AB51 AB30 AB73,AB54 AB51 AB30 AB73,4,4,1,external_csv,http://sigla.phis.me/document/HT%2085b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1265,HT 85B,,AB67 AB27 AB66,AB67 AB27 AB66,3,3,1,external_csv,http://sigla.phis.me/document/HT%2085b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1266,HT 85B,,AB67 AB67 AB60 AB57,AB67 AB67 AB60 AB57,4,4,1,external_csv,http://sigla.phis.me/document/HT%2085b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1267,HT 85B,,AB78 AB77,AB78 AB77,2,2,1,external_csv,http://sigla.phis.me/document/HT%2085b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1268,HT 85B,,AB80 AB07,AB80 AB07,2,2,1,external_csv,http://sigla.phis.me/document/HT%2085b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1269,HT 86,,A DU,A DU,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
