prefix,length,count,artifact_count,artifacts
AB77,1,47,44,"ARKH 3A,HT 102,HT 10B,HT 115A,HT 11A,HT 123B,HT 13,HT 139,HT 140,HT 16,HT 23A,HT 26B,HT 29,HT 31,HT 37,HT 47A,HT 49B,HT 62 73,HT 63,HT 6A,HT 75,HT 79 83,HT 88,HT 8B,HT 94A,HT 97A,HT 98A,HT 9B,HT WA 1028,HT WC 3003,HT WC 3015A,HT WC 3016A,KE 1,KH 36,KH 41,KH WC 2005,KN 22A,KN WC 3,MI 2,PH WC 37A,ZA 10B,ZA 15B,ZA 4A,ZA 8"
AB28,1,46,41,"ARKH 4B,HT 102,HT 104,HT 13,HT 131A,HT 25A,HT 25B,HT 26B,HT 27A,HT 28A,HT 35,HT 44A,HT 49B,HT 55B,HT 7A,HT 90,HT 91,HT 96A,HT WA 1006,HT WA 1007,HT WA 1008,HT WA 1009,HT WA 1010,HT WA 1011,HT WA 1012,HT WA 1013,HT31,KH 10,KH 18,KH 32,KH 59,KH 7A,KH 9,MA 1A,PH 6,ZA 11B,ZA 15A,ZA 21B,ZA 24A,ZA 6A,ZA 6B"
DA,1,46,31,"ARKH 6,HT 10,HT 103,HT 104,HT 117,HT 12,HT 120,HT 122,HT 123 124,HT 126,HT 13,HT 34,HT 38,HT 57,HT 6,HT 7,HT 79 83,HT 85,HT 86,HT 88,HT 93,HT 95,HT 98,HT 99,HT10,HT12,HT7,PK 3,ZA 10,ZA 18,ZA 8"
AB03,1,43,41,"HT 104,HT 115A,HT 115B,HT 120,HT 122A,HT 128A,HT 18,HT 20,HT 24A,HT 26B,HT 27B,HT 29,HT 31,HT 4,HT 41A,HT 43,HT 45A,HT 62 73,HT 88,HT 8B,HT 93A,HT 94B,HT 97A,HT 9A,HT 9B,HT WA 1019,HT WC 3001,HT WC 3002,HT ZB 160,KH 79 89,KH 7B,KH 99,KN 32B,PH 31A,PH 3A,TY 2,TY 3B,ZA 10B,ZA 14,ZA 21A,ZA 6B"
AB67,1,43,37,"ARKH 1A,ARKH 3A,HT 1,HT 103,HT 108,HT 114A,HT 117A,HT 120,HT 121,HT 123A,HT 123B,HT 15,HT 154,HT 2,HT 27A,HT 30,HT 31,HT 34,HT 37,HT 40,HT 47A,HT 54A,HT 54B,HT 55A,HT 81,HT 85B,HT 88,HT 8A,HT 93A,HT 93B,HT 94B,KH 6,TY 3B,ZA 1A,ZA 21B,ZA 5A,ZA 8"
AB41,1,38,37,"ARKH 2,HT 110A,HT 116A,HT 122A,HT 123B,HT 126A,HT 154N,HT 17,HT 3,HT 34,HT 49A,HT 51B,HT 55A,HT 8A,HT 90,HT 96A,HT WA 1014,HT WA 1015,HT WA 1016,HT WA 1017,HT WA 1018,HT WA 1019,HT WA 1028,HT WA 1242,HT ZB 161,KH 40,KH 47,KH 51,KH 74,KH 76,KN ZB 4,PH 3B,ZA 15A,ZA 20,ZA 26A,ZA 4A,ZA 5B"
FIC,1,37,36,"HT 100,HT 103,HT 110,HT 114,HT 12,HT 121,HT 125,HT 129,HT 130,HT 18,HT 27,HT 28,HT 30,HT 51,HT 6,HT 67,HT 70,HT 88,HT 89,HT 90,HT 91,HT 94,HT 96,HT 99,KH 11,KH 15,KH 20,KH 21,KH 5,KH 73,KH 75,KH 88,KH 9,PH 14,ZA 1,ZA 8"
AB81 AB02,2,36,35,"HT 100,HT 102,HT 104,HT 109,HT 110A,HT 116B,HT 117A,HT 118,HT 119,HT 11A,HT 11B,HT 122A,HT 122B,HT 123A,HT 123B,HT 127B,HT 13,HT 25B,HT 27A,HT 39,HT 40,HT 46A,HT 74,HT 85A,HT 88,HT 89,HT 94A,HT 94B,HT 9B,HT13,HT31,HT95,PH 31A,ZA 15B,ZA10"
KI,1,36,32,"HT 103,HT 108,HT 114,HT 117,HT 120,HT 121,HT 122,HT 123 124,HT 127,HT 129,HT 15,HT 24,HT 26,HT 27,HT 30,HT 31,HT 34,HT 37,HT 40,HT 47,HT 54,HT 55,HT 8,HT 85,HT 88,HT 93,HT 94,HT7,TY 3,ZA 1,ZA 5,ZA 8"
I,1,35,30,"HT 102,HT 104,HT 115,HT 120,HT 13,HT 131,HT 154,HT 25,HT 28,HT 35,HT 43,HT 44,HT 7,HT 90,HT 91,HT 93,HT 96,KH 10,KH 12,KH 18,KH 7,KH WC 2066,KH WC 2070,PH 6,ZA 1,ZA 11,ZA 15,ZA 21,ZA 24,ZA 6"
