suffix,length,count,artifact_count,artifacts
TE,1,39,30,"ARKH 2,HT 106,HT 116,HT 12,HT 13,HT 26,HT 34,HT 4,HT 42 59,HT 51,HT 67,HT 70,HT 86,HT 87,HT 94,HT 95,HT 96,HT 98,HT10,HT9,KH 10,KH 11,KH 6,KH 92,PK 1,PS ZA 2,ZA 10,ZA 19,ZA 23,ZA 9"
NA,1,38,33,"ARKH 5,HT 10,HT 102,HT 103,HT 108,HT 11,HT 115,HT 120,HT 123 124,HT 129,HT 135,HT 2,HT 23,HT 26,HT 28,HT 31,HT 6,HT 8,HT 88,HT 90,HT 93,HT 98,KH 59,KN 2,MA 2,PE 1,PH 1,PH 31,PK 1,ZA 10,ZA 15,ZA 6,ZA 9"
AB37,1,36,28,"HT 104,HT 10B,HT 117A,HT 154,HT 17,HT 19,HT 25B,HT 26A,HT 39,HT 49A,HT 61,HT 63,HT 7A,HT 84,HT 8A,HT 97A,HT 98A,KH WC 2005,KN 1A,KN 1B,KN ZB 5,KN ZC 7,MA 1C,MA 2B,MA 2C,PH 31B,PS ZA 2,ZA 9"
AB26,1,35,28,"HT 10A,HT 10B,HT 115A,HT 115B,HT 117A,HT 118,HT 122B,HT 123A,HT 2,HT 23A,HT 3,HT 46A,HT 49A,HT 55A,HT 75,HT 86A,HT 86B,HT 93A,HT 94B,HT 95A,HT 95B,HT 97A,KH 49,MA 10A,PH 31A,TY 2,ZA 11A,ZA 4A"
AB57,1,35,32,"HT 115B,HT 116A,HT 119,HT 11A,HT 126A,HT 154A,HT 24A,HT 28A,HT 3,HT 41A,HT 55B,HT 6A,HT 7A,HT 85B,HT 93A,HT WC 3001,HT WC 3002,HT ZB 158B,HT ZD 156,KH 10,KH 14,KH 97A,KH WC 2100,KN WC 26A,KN ZB 35,MA 4B,PH 18A,PH 1A,PH 28A,PH 7A,SY ZA 4,ZA 4A"
FIC,1,35,32,"HT 100,HT 103,HT 110,HT 114,HT 12,HT 121,HT 125,HT 129,HT 130,HT 18,HT 27,HT 28,HT 30,HT 6,HT 89,HT 90,HT 91,HT 94,HT 96,HT 99,KH 11,KH 15,KH 20,KH 21,KH 5,KH 73,KH 75,KH 88,KH 9,PH 14,ZA 1,ZA 8"
AB81 AB02,2,34,33,"HT 100,HT 102,HT 104,HT 109,HT 110A,HT 116B,HT 117A,HT 118,HT 119,HT 11A,HT 11B,HT 122A,HT 122B,HT 123A,HT 123B,HT 127B,HT 13,HT 131B,HT 25B,HT 27A,HT 39,HT 40,HT 46A,HT 74,HT 85A,HT 88,HT 89,HT 94A,HT 94B,HT 9A,HT 9B,PH 31A,ZA 15B"
AB76,1,33,31,"HT 100,HT 101,HT 102,HT 114A,HT 116A,HT 11B,HT 121,HT 130,HT 139,HT 18,HT 28B,HT 30,HT 32,HT 33,HT 34,HT 54A,HT 89,HT 90,HT 93A,HT 94A,HT 97B,HT 99A,HT WA 1006,HT WA 1007,HT WA 1008,HT WA 1009,HT WA 1010,HT WA 1011,HT WA 1012,HT WA 1013,ZA 6A"
AB77,1,33,32,"HT 102,HT 135A,HT 140,HT 28A,HT 28B,HT 47A,HT 49B,HT 79 83,HT 85B,HT 91,HT 93A,HT WA 1001,HT WA 1002,HT WA 1003,HT WA 1004,HT WA 1005,HT WA 1014,HT WA 1015,HT WA 1016,HT WA 1017,HT WA 1018,HT WA 1028,HT WC 3004A,HT WC 3005A,HT WC 3009A,HT WC 3010,KH 36,KH 5,KN WC 3,MA WC 5A,MI 2,ZA WC 2"
TA,1,33,30,"HT 117,HT 123 124,HT 128,HT 13,HT 146,HT 25,HT 27,HT 29,HT 30,HT 35,HT 40,HT 51,HT 6,HT 95,HT 96,HT 99,HT10,KH 19,KH 39,KH 55,KH 61,KH 7,KH 85,KH 90,KN 22,PH 6,PK 1,ZA 10,ZA 5,ZA 8"
TI,1,32,22,"HT 10,HT 104,HT 117,HT 17,HT 19,HT 25,HT 26,HT 39,HT 49,HT 61,HT 63,HT 7,HT 8,HT 84,HT 97,HT 98,KN 1,MA 10,MA 2,PH 31,PK 1,ZA 9"
AB04,1,31,29,"ARKH 2,ARKH 4A,HT 116A,HT 117A,HT 12,HT 26A,HT 34,HT 4,HT 55B,HT 86A,HT 87,HT 94B,HT 95A,HT 95B,HT 96A,HT 98B,KH 10,KH 6,KH 92,KN 28B,KN 32B,PYR 1,ZA 10A,ZA 10B,ZA 21A,ZA 23,ZA 26A,ZA 29,ZA 9"
AB24,1,31,30,"ARKH 1A,ARKH 3A,HT 103,HT 115A,HT 115B,HT 116A,HT 117B,HT 12,HT 122A,HT 127B,HT 135A,HT 135B,HT 29,HT 52B,HT 53A,HT 55A,HT 6A,HT 7B,HT 87,HT 94B,HT 96A,HT 96B,HT WA 1019,KH 47,KH 5,KH 53,KH 6,KH 83,PH 31B,PH 7A"
AB41,1,31,29,"HT 117A,HT 119,HT 126A,HT 13,HT 140,HT 15,HT 154N,HT 28B,HT 5,HT 51B,HT 87,HT 9B,HT WA 1028,HT WA 1242,KH 16,KH 47,KH 51,KH 6,KH 60,KH 74,KH 76,KH 7A,KH 9,KN ZB 4,PH 3B,PH WC 37A,TY 3B,ZA 11A,ZA 16"
